safe,female,N,ave_safe_choice,std_safe_choice,Cohens_d,mann_whitney_test,normality_test,t_test
Holt & Laury,Men,74,5.72972972972973,1.5197088518681798,-0.1851836875763054,0.18340003315125672,0.006185553504488905,0.25555976339488606
Holt & Laury,Women,77,6.038961038961039,1.8023490406276854,-0.1851836875763054,0.18340003315125672,0.006185553504488905,0.25555976339488606
Holt & Laury safe,Men,76,5.657894736842105,1.4746988987943481,-0.42733244717449276,0.0035860668274451148,0.7535718409843319,0.008370664043158912
Holt & Laury safe,Women,83,6.240963855421687,1.255139302790469,-0.42733244717449276,0.0035860668274451148,0.7535718409843319,0.008370664043158912
