safe,female,N,ave_safe_choice,std_safe_choice,Cohens_d,mann_whitney_test,normality_test,t_test
Bomb Risk Elicitation Task,Men,105,46.38095238095238,13.344821058532373,-0.01784733147070151,0.6584790705792656,0.0037070018123838144,0.8815753141417562
Bomb Risk Elicitation Task,Women,164,46.65243902439025,16.291288090089623,-0.01784733147070151,0.6584790705792656,0.0037070018123838144,0.8815753141417562
Bomb Risk Elicitation Task safe,Men,73,49.794520547945204,12.702754408339937,0.25284224174012443,0.07928374380220769,0.538934477654595,0.09728313448276989
Bomb Risk Elicitation Task safe,Women,118,46.720338983050844,11.81110993229791,0.25284224174012443,0.07928374380220769,0.538934477654595,0.09728313448276989
