task,female,sd0,sd1,diff
BRET,0,13.344821058532373,12.702754408339937,-0.6420666501924366
BRET,1,16.291288090089623,11.81110993229791,-4.480178157791713
EG,0,1.2724180205607036,1.3797331266148631,0.1073151060541595
EG,1,1.2034922980857028,1.1474682203369804,-0.05602407774872242
HL,0,1.6110043640811422,1.4746988987943481,-0.1363054652867941
HL,1,1.84229566441056,1.255139302790469,-0.587156361620091
